Emissor;Tipo;Numero;Titulo;Data;Link;Gabarito
ANVISA;Resolução;398;Resolução da Diretoria Colegiada - RDC nº 398 de 07/07/2020;07/07/2020;http://antigo.anvisa.gov.br/legislacao#/visualizar/427731;0
ANVISA;Resolução;401;Resolução da Diretoria Colegiada - RDC nº 401 de 21/07/2020;21/07/2020;http://antigo.anvisa.gov.br/legislacao#/visualizar/428920;0
ANVISA;Resolução;402;Resolução da Diretoria Colegiada - RDC nº 402 de 21/07/2020;21/07/2020;http://antigo.anvisa.gov.br/legislacao#/visualizar/428921;0
ANVISA;Resolução;404;Resolução da Diretoria Colegiada - RDC nº 404 de 21/07/2020;21/07/2020;http://antigo.anvisa.gov.br/legislacao#/visualizar/428923;0
ANVISA;Resolução;406;Resolução da Diretoria Colegiada - RDC nº 406 de 22/07/2020;22/07/2020;http://antigo.anvisa.gov.br/legislacao#/visualizar/428924;0
ANVISA;Resolução;407;Resolução da Diretoria Colegiada - RDC nº 407 de 27/07/2020;27/07/2020;http://antigo.anvisa.gov.br/legislacao#/visualizar/428925;0
ANVISA;Resolução;409;Resolução da Diretoria Colegiada - RDC nº 409 de 27/07/2020;27/07/2020;http://antigo.anvisa.gov.br/legislacao#/visualizar/428926;0
ANVISA;Resolução;412;Resolução da Diretoria Colegiada - RDC nº 412 de 20/08/2020;20/08/2020;http://antigo.anvisa.gov.br/legislacao#/visualizar/431101;0
ANVISA;Resolução;413;Resolução da Diretoria Colegiada - RDC nº 413 de 20/08/2020;20/08/2020;http://antigo.anvisa.gov.br/legislacao#/visualizar/431102;0
ANVISA;Resolução;415;Resolução da Diretoria Colegiada - RDC nº 415 de 26/08/2020;26/08/2020;http://antigo.anvisa.gov.br/legislacao#/visualizar/431103;0
ANVISA;Resolução;416;Resolução da Diretoria Colegiada - RDC nº 416 de 27/08/2020;27/08/2020;http://antigo.anvisa.gov.br/legislacao#/visualizar/431105;0
ANVISA;Resolução;418;Resolução da Diretoria Colegiada - RDC nº 418 de 01/09/2020;01/09/2020;http://antigo.anvisa.gov.br/legislacao#/visualizar/432060;0
ANVISA;Resolução;419;Resolução da Diretoria Colegiada - RDC nº 419 de 01/09/2020;01/09/2020;http://antigo.anvisa.gov.br/legislacao#/visualizar/432063;0
ANVISA;Resolução;421;Resolução da Diretoria Colegiada - RDC nº 421 de 01/09/2020;01/09/2020;http://antigo.anvisa.gov.br/legislacao#/visualizar/432064;0
ANVISA;Resolução;423;Resolução da Diretoria Colegiada - RDC nº 423 de 16/09/2020;16/09/2020;http://antigo.anvisa.gov.br/legislacao#/visualizar/432115;0
ANVISA;Resolução;424;Resolução da Diretoria Colegiada - RDC nº 424 de 18/09/2020;18/09/2020;http://antigo.anvisa.gov.br/legislacao#/visualizar/433501;1
ANVISA;Resolução;425;Resolução da Diretoria Colegiada - RDC nº 425 de 24/09/2020;24/09/2020;http://antigo.anvisa.gov.br/legislacao#/visualizar/433503;1
ANVISA;Portaria;608;Portaria - PRT  nº 608 de 24/09/2020;24/09/2020;http://antigo.anvisa.gov.br/legislacao#/visualizar/433505;1
ANVISA;Resolução;426;Resolução da Diretoria Colegiada - RDC nº 426 de 30/09/2020;30/09/2020;http://antigo.anvisa.gov.br/legislacao#/visualizar/434111;0
ANVISA;Resolução;428;Resolução da Diretoria Colegiada - RDC nº 428 de 07/10/2020;07/10/2020;http://antigo.anvisa.gov.br/legislacao#/visualizar/434472;0
ANVISA;Resolução;429;Resolução da Diretoria Colegiada - RDC nº 429 de 08/10/2020;08/10/2020;http://antigo.anvisa.gov.br/legislacao#/visualizar/434473;0
ANVISA;Resolução;430;Resolução da Diretoria Colegiada - RDC nº 430 de 08/10/2020;08/10/2020;http://antigo.anvisa.gov.br/legislacao#/visualizar/434475;0
ANVISA;Resolução;436;Resolução da Diretoria Colegiada - RDC nº 436 de 05/11/2020;05/11/2020;http://antigo.anvisa.gov.br/legislacao#/visualizar/435509;1
ANVISA;Resolução;616;Resolução da Diretoria Colegiada - RDC nº 616 de 09/03/2022;09/03/2022;http://antigo.anvisa.gov.br/legislacao#/visualizar/477489;1
ANVISA;Resolução;622;Resolução da Diretoria Colegiada - RDC nº 622 de 09/03/2022;09/03/2022;http://antigo.anvisa.gov.br/legislacao#/visualizar/477735;0
ANVISA;Resolução;654;Resolução da Diretoria Colegiada - RDC nº 654 de 24/03/2022;24/03/2022;http://antigo.anvisa.gov.br/legislacao#/visualizar/479114;0
ANVISA;Portaria;378;Portaria - PRT  nº 378 de 30/05/2022;30/05/2022;http://antigo.anvisa.gov.br/legislacao#/visualizar/485092;1
CONAMA;Resolução;501;Resolução CONAMA Nº 501/2021;21/10/2021;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=811;1
CONAMA;Resolução;502;Resolução CONAMA Nº 502/2021;08/12/2021;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=812;0
CONAMA;Resolução;503;Resolução CONAMA Nº 503/2021;14/12/2021;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=813;1
TCU;Decisão Normativa;178;Decisão Normativa 178/2019;23/10/2019;http://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codVersao=editavel&codPapelTramitavel=63058573;1
TCU;Portaria;378;Portaria 378/2019;05/12/2019;http://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codVersao=editavel&codPapelTramitavel=63511408;1
TCU;Portaria;61;Portaria 61/2020;19/03/2020;http://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codVersao=editavel&codPapelTramitavel=64265257;1
TCU;Decisão Normativa;182;Decisão Normativa 182/2020;19/03/2020;http://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codVersao=editavel&codPapelTramitavel=64265269;1
TCU;Decisão Normativa;183;Decisão Normativa 183/2020;25/03/2020;http://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codVersao=editavel&codPapelTramitavel=64325875;0
TCU;Decisão Normativa;185;Decisão Normativa 185/2020;14/04/2020;http://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codVersao=editavel&codPapelTramitavel=64433055;1
TCU;Portaria;71;Portaria 71/2020;16/04/2020;http://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codVersao=editavel&codPapelTramitavel=64454892;1
TCU;Resolução;316;Resolução 316/2020;22/04/2020;http://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codVersao=editavel&codPapelTramitavel=64541127;1
